SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,fillseq,fillseqsync,fillseqbatch,fillrandom,fillrandsync,fillrandbatch,overwrite,overwritebatch,readrandom,readseq,fillrand100K,fillseq100K,readseq,readrand100K,fillseq,fillseqsync,fillseqbatch,fillrandom,fillrandsync,fillrandbatch,overwrite,overwritebatch,readrandom,readseq,fillrand100K,fillseq100K,readseq,readrand100K,fillseq,fillseqsync,fillseqbatch,fillrandom,fillrandsync,fillrandbatch,overwrite,overwritebatch,readrandom,readseq,fillrand100K,fillseq100K,readseq,readrand100K,fillseq,fillseqsync,fillseqbatch,fillrandom,fillrandsync,fillrandbatch,overwrite,overwritebatch,readrandom,readseq,fillrand100K,fillseq100K,readseq,readrand100K,fillseq,fillseqsync,fillseqbatch,fillrandom,fillrandsync,fillrandbatch,overwrite,overwritebatch,readrandom,readseq,fillrand100K,fillseq100K,readseq,readrand100K,fillseq,fillseqsync,fillseqbatch,fillrandom,fillrandsync,fillrandbatch,overwrite,overwritebatch,readrandom,readseq,fillrand100K,fillseq100K,readseq,readrand100K,fillseq,fillseqsync,fillseqbatch,fillrandom,fillrandsync,fillrandbatch,overwrite,overwritebatch,readrandom,readseq,fillrand100K,fillseq100K,readseq,readrand100K
0,0,1,0,1,1,1,1,0,1,0,0,1,0,10.717,2530.4,4.527,17.432,2573.4,13.462,21.373,19.052,6.31,2.549,446.44,428.23,63.976,69.126,10.496,2514.7,4.56,17.299,2553.7,13.552,21.236,19.192,6.511,2.449,451.22,437.05,62.122,68.837,9.851,2950.5,2.356,16.555,3035.3,10.811,21.192,17.693,5.867,2.313,198.65,200.5,31.513,32.712,10.575,2498.8,4.542,17.667,2524.3,13.557,21.6,19.472,6.409,2.451,445.21,431.72,61.524,68.607,18.248,16479,7.682,28.054,16128,20.086,39.06,39.816,11.225,3.485,703.79,709.99,126.12,130,18.19,18124,3.884,38.95,18346,17.041,56.296,70.304,10.539,5.244,373.61,390.52,79.881,74.362,13.932,7760.4,6.798,26.824,12331,29.542,163.76,902.17,9.414,3.251,567.8,1872.6,75.147,80.465
0,0,0,0,0,1,1,1,1,0,1,0,1,1,10.59,2523.7,4.514,17.504,2586.1,13.486,21.302,19.033,6.217,2.393,444.26,432.4,61.812,68.532,10.977,2495.3,4.522,17.785,2558.8,13.715,21.922,19.076,6.365,2.455,442.53,430.93,63.686,70.867,9.543,2949.2,1.941,16.132,3022.2,10.376,20.777,17.259,5.065,2.262,200.07,201.4,31.834,32.802,10.516,2487.1,4.538,17.486,2528.8,13.529,21.289,19.119,6.427,2.444,445.48,433.94,61.63,68.321,18.186,16420,7.544,34.69,16189,19.969,45.755,41.73,10.659,3.427,696.75,711.06,125.16,129.23,17.461,17726,3.202,27.553,17444,16.205,50.609,46.334,11.924,3.698,372.79,396.47,79.654,74.129,13.825,7895.4,6.166,25.239,12305,25.703,204.42,864.25,8.915,3.284,538.96,1935.6,67.356,90.84
0,1,1,1,1,1,0,0,0,1,0,1,0,1,13.753,2544.7,5.274,20.666,2581.2,14.3,24.897,19.84,6.345,2.382,448.01,441.54,60.695,68.369,13.952,2535.6,5.259,21.006,2563.8,14.299,25.174,19.7,6.321,2.386,443.51,433.08,62.481,69.791,11.712,2962.6,2.663,18.487,3057.1,11.066,23.461,17.989,5.324,2.132,205.64,207.34,31.143,32.013,13.693,2505.7,5.245,21.169,2554.9,14.397,25.573,20.048,6.413,2.437,447.75,433.42,62.707,71.204,23.038,15422,8.944,38.076,14881,21.591,49.696,36.833,12.354,3.504,716.03,726.38,126.28,129.77,21.064,16957,4.527,41.201,16851,17.807,68.473,55.37,13.536,3.812,386.26,406.12,80.525,74.703,16.785,7032.9,7.029,26.902,12064,28.281,159.12,851.61,9.749,3.519,594.85,1768.9,78.623,97.658
1,1,1,1,1,0,1,0,1,0,0,1,1,1,14.192,2515.4,5.258,21.115,2597.2,14.276,25.578,19.988,6.162,2.387,446.08,432.07,62.009,67.848,13.89,2509.1,5.237,20.772,2580.2,14.229,24.94,20.037,6.291,2.431,445.85,433.05,62.805,70.259,11.768,2958.1,2.218,17.825,3041.7,10.632,22.678,17.444,5.098,2.414,207.33,207.34,32.172,33.563,13.72,2504.7,5.254,20.792,2571.3,14.401,24.885,20.271,6.376,2.438,452.31,438.44,61.638,70.906,22.501,15339,8.755,33.957,15123,21.302,49.915,40.602,10.967,3.579,702.06,708,125.96,129.72,20.202,17264,3.764,37.439,17563,16.966,51.062,69.711,13.332,3.731,382.92,397.12,80.058,73.647,17.613,6842.8,6.75,35.829,11913,29.872,171.13,788.63,8.804,3.442,581.06,1490.3,74.869,90.029
0,1,1,1,0,1,1,0,0,1,1,0,1,1,10.833,2525.1,4.492,17.863,2597.9,13.616,22.239,19.529,6.79,2.433,440.09,428.94,60.723,68.213,10.718,2512.3,4.508,17.56,2541.3,13.58,21.655,19.252,6.333,2.43,442.76,431.66,62.212,68.37,9.725,2943.7,2.362,16.531,3038.8,10.813,21.219,17.586,5.379,2.182,195.46,197.18,31.03,31.111,10.667,2482.9,4.554,17.568,2525.1,13.61,21.851,19.362,6.409,2.43,451.45,432.7,63.3,69.875,18.043,16383,7.467,35.281,16167,19.968,41.427,40.287,10.789,3.542,696.74,714.13,125.69,129.21,18.198,17785,3.748,28.392,17561,16.839,62.244,35.163,9.95,6.789,371.81,392.88,79.771,74.28,14.118,7517.3,6.191,30.523,12311,24.435,181.98,870.02,9.422,3.489,579.57,1978.4,76.326,89.49
0,0,0,0,0,0,1,0,1,0,1,0,0,0,10.919,2530.1,4.564,17.857,2557.2,13.598,21.818,19.083,6.451,2.44,443.22,436.49,63.578,70.82,10.667,2506.1,4.598,17.693,2568.7,13.586,21.773,18.943,6.284,2.411,440.76,429.83,64.105,70.868,9.554,2941.3,1.961,15.967,3045,10.262,20.66,17.187,5.312,2.328,199.03,198.8,30.991,31.07,10.67,2479.1,4.56,17.659,2556.6,13.592,21.515,19.286,6.382,2.443,448.36,431.59,62.429,68.428,18.284,16390,7.665,27.949,16301,19.897,39.918,40.489,11.088,3.523,698.69,701.05,125.68,129.04,17.693,17806,3.302,27.869,17866,16.185,52.918,65.93,13.42,3.68,371.74,391.29,80.325,74.22,14.121,7652.7,6.316,28.643,12339,30.608,170.37,878.66,8.912,3.28,588.42,1733,75.944,89.746
0,0,0,1,0,0,0,0,1,0,1,0,0,1,10.962,2516.9,4.503,17.872,2594.3,13.507,21.764,18.656,6.326,2.434,440.34,433.46,61.074,68.67,10.607,2531.5,4.489,17.492,2555.8,13.485,21.721,19.032,6.216,2.398,446.91,434.61,61.629,68.858,9.469,2942.4,1.959,16.042,3041.7,10.293,20.637,17.067,4.895,2.102,198.76,199.2,30.689,31.892,10.628,2488.1,4.507,17.474,2515.7,13.581,21.465,19.254,6.272,2.433,452.54,437.71,62.423,69.742,18.292,16386,7.531,28.156,16363,20.028,45.439,34.795,11.073,3.577,711.49,723.28,125.61,129.26,17.601,18333,3.227,27.557,18245,16.327,50.314,56.741,13.463,3.715,375.88,388.82,79.998,74.192,13.875,7582.3,6.16,28.884,12328,29.064,179.39,870.2,7.839,2.91,581.76,1820.2,66.79,92.978
0,1,0,0,0,0,0,0,0,1,1,0,1,1,10.761,2512.2,4.614,17.675,2552.5,13.572,21.515,18.878,6.272,2.373,442.24,429.3,63.206,70.501,10.676,2522.6,4.594,17.503,2548.6,13.59,21.674,19.142,6.433,2.427,442.85,430.1,62.22,68.771,9.861,2929,2.352,16.45,3040.4,10.848,21.431,17.654,5.429,2.242,197.76,200.13,31.476,32.851,10.715,2487.4,4.59,17.647,2537.6,13.879,21.691,19.275,6.525,2.45,442.57,430.78,63.905,70.815,18.325,16414,7.601,38.303,15863,20.103,42.12,36.225,10.818,3.499,702,707.97,124.24,128.41,18.409,17871,3.916,28.632,17596,17.166,69.449,58.667,12.796,3.725,375.97,401.19,80.897,74.72,13.261,8004.8,6.607,24.013,12526,22.838,223.72,796.9,7.92,2.941,524.44,1686.3,74.324,71.211
1,1,0,0,1,1,1,1,1,1,1,0,0,1,10.742,2543.5,4.548,17.616,2579.4,13.648,21.771,19.044,6.277,2.392,441.77,428.32,62.584,68.952,10.879,2511.7,4.604,17.941,2566.9,13.634,21.801,18.941,6.294,2.419,441.46,427.72,63.268,69.597,9.827,2970.5,2.352,16.642,3047.2,10.795,21.333,17.755,5.364,2.211,200.53,201.14,31.136,33.094,10.993,2497.6,4.602,17.923,2536.2,13.758,21.936,19.453,6.45,2.45,450.15,436.28,62.106,69.2,18.418,16422,7.687,32.535,16226,20.092,41.883,42.702,10.817,3.443,703.2,701.07,125.39,128.21,18.544,18315,3.989,35.874,17747,17.206,60.419,58.753,13.62,3.762,377.68,394.29,80.083,74.294,12.928,8178.2,5.74,30.909,12311,25.207,184.03,813.94,7.76,2.742,508.1,1921.4,68.32,84.704
0,1,0,1,0,0,1,0,1,0,0,0,1,0,10.892,2524.8,4.535,17.625,2567.6,13.524,21.82,19.2,6.062,2.394,450.26,441.43,81.346,68.58,10.855,2516.7,4.533,17.886,2559.1,13.517,21.506,19.217,6.29,2.4,449.22,430.12,62.173,68.578,9.312,2941,1.942,15.852,3022.8,10.246,20.465,17.112,4.859,2.201,197.8,197.53,31.897,32.856,11.183,2507.9,4.528,17.655,2556.6,13.53,21.855,19.347,6.229,2.45,446.16,430.27,62.088,68.383,18.454,16412,7.495,31.786,16240,19.888,45.357,40.095,10.944,3.564,706.95,710.27,124.97,128.08,17.41,17959,3.055,27.631,18015,16.157,64.506,41.344,10.182,3.718,371.88,388.13,79.996,74.129,12.213,8341.7,5.398,23.567,12385,27.368,153.79,798.54,8.89,3.317,512.65,1908.4,68.067,89.441
1,1,1,1,0,0,1,0,0,1,1,1,0,1,13.798,2537.1,5.337,20.748,2574,14.315,24.829,19.795,6.33,2.384,445.56,436.6,64.289,70.764,13.737,2519,5.292,20.8,2574.4,14.324,24.961,19.907,6.473,2.433,452.83,437.48,63.014,69.738,11.638,2958.1,2.681,18.775,3076.5,11.22,23.745,18.256,5.266,2.213,208.06,206.9,32.093,32.835,13.916,2521.4,5.271,20.81,2536,14.362,25.132,19.951,6.616,2.438,451.66,432.83,63.541,69.545,22.917,16048,9.145,33.504,15089,24.467,53.911,39.507,11.342,3.577,713.78,711.3,126.47,129.77,21.318,17096,4.605,32.876,16954,18.114,62.953,48.261,14.833,3.803,387.34,404.62,80.86,74.467,16.426,7315,6.772,31.23,11856,24.321,241.06,882.41,7.962,2.917,526.86,2000.8,66.865,81.819
1,1,0,1,0,0,0,0,0,1,1,0,1,0,10.647,2512.2,4.597,17.415,2554.4,13.572,21.425,19.092,6.438,2.426,450.12,434.19,60.593,68.353,10.78,2493,4.598,17.579,2559.3,13.679,21.543,19.162,6.314,2.397,452.47,436.37,61.173,68.824,9.818,2962.9,2.351,16.62,3035.7,10.832,21.272,17.644,5.388,2.327,200.72,199.87,31.022,31.441,10.851,2487.7,4.573,17.77,2535.2,13.726,22.123,19.512,6.454,2.445,446.04,430.53,62.503,69.27,18.356,16533,7.698,36.352,16721,20.421,43.004,41.191,11.227,3.525,704.06,714.4,128.21,131.54,18.388,18027,3.89,37.141,17999,17.297,53.237,46.922,12.344,3.74,381.82,391.82,80.12,74.588,12.625,8230.1,6.896,25.63,12367,22.26,166.28,788.33,7.937,2.931,531.25,1829.4,66.913,80.748
1,0,0,1,1,1,1,1,0,0,0,0,0,1,10.86,2528.7,4.621,17.907,2582.7,13.64,21.75,18.869,6.509,2.382,445.27,432.87,62.077,68.376,10.682,2509.8,4.625,17.462,2550.9,13.72,21.926,19.138,6.29,2.376,444.41,431.88,64.038,71.331,9.511,2969.1,1.963,16.04,3038.7,10.301,20.944,17.104,4.923,2.195,199.07,196.72,31.02,31.461,10.723,2473.7,4.601,17.742,2531.3,13.7,21.805,19.438,6.679,2.6,445.18,430.57,63.154,69.026,18.618,16430,7.673,28.304,16220,20.194,44.186,40.457,11.079,3.323,703.84,718.77,124.95,129.43,17.51,17995,3.236,30.853,17865,16.382,59.091,50.094,16.46,3.697,374.16,396.98,80.155,74.188,12.918,8144.3,6.004,27.613,12301,25.495,217.62,855.52,7.253,2.714,518.25,1936.9,66.744,79.999
0,0,0,1,0,1,1,1,1,0,0,1,0,1,13.655,2532.9,5.191,20.666,2569.9,14.173,24.564,19.575,6.251,2.42,449.03,433.12,63.16,71.064,13.794,2518.1,5.193,20.94,2559.5,14.167,25.036,19.841,6.484,2.452,449.81,438.44,61.379,69.029,11.323,2941.5,2.242,18.25,3061,10.635,22.903,17.447,5.067,2.241,204.39,204.81,31.398,32.441,13.671,2533.7,5.144,20.751,2537.3,14.215,24.813,20.17,6.345,2.454,451.46,439.22,61.193,69.123,22.434,15590,8.766,38.853,15075,21.135,58.289,40.175,11.033,3.483,697.42,713.01,124.97,130.01,20.211,18672,3.833,40.303,18803,16.906,64.164,53.024,15.525,3.729,389.06,401.36,80.683,74.315,15.909,7951.5,6.138,32.369,11964,24.769,226.79,815.86,7.749,2.847,529.5,2004.9,65.227,82.529
1,1,0,0,0,0,1,0,1,1,0,0,1,0,10.649,2522.2,4.56,17.458,2575.2,13.581,21.656,19.003,6.33,2.396,441.96,429.58,61.507,69.108,10.599,2510.2,4.607,17.689,2552.4,13.704,21.961,19.115,6.399,2.408,445.13,432.54,63.59,70.517,9.935,2966,2.388,16.574,3017.8,10.83,21.156,17.878,5.361,2.194,197.88,197.96,31.301,33.288,10.835,2492.5,4.756,17.939,2522.9,13.642,21.748,19.516,6.566,2.447,441.82,430.22,62.015,69.23,18.331,16489,7.584,31.5,16777,23.679,40.925,36.112,10.985,3.616,706.97,709.85,125.18,128.94,18.408,19959,3.838,46.549,19371,17.075,69.098,50.332,20.504,3.668,381.27,390.91,80.116,73.994,12.958,8141.6,5.594,26.89,12364,27.529,131.53,860.37,7.508,2.845,511.42,2022.7,70.356,86.242
0,0,0,1,1,1,0,1,1,0,1,0,1,0,10.451,2518.3,4.46,17.198,2567,13.415,21.123,18.836,6.189,2.387,443.43,436.26,62.169,68.374,10.488,2524.3,4.514,17.254,2569.8,13.445,21.181,19.164,6.174,2.401,441.74,432.42,62.446,68.325,9.511,2926.9,1.937,16.063,3043.1,10.262,20.605,17.173,5.047,2.278,197.64,199.3,31.28,31.957,11.029,2484.2,4.498,18.117,2527.7,13.563,22.153,19.328,6.433,2.522,446.18,431.66,66.911,72.58,17.941,16548,7.454,31.452,16818,19.878,47.481,39.697,10.725,3.521,701.95,700.74,124.22,127.89,17.377,20213,3.133,33.985,19124,16.193,57.853,54.777,13.159,3.771,373.28,390.59,80.623,74.158,12.207,8489.2,5.7,25.026,12409,23.937,177.77,819.9,8.365,3.111,527.36,1901.9,67.724,81.703
1,1,0,0,1,1,1,1,0,0,1,0,1,1,10.699,2525.9,4.595,17.521,2561.7,13.484,21.672,19.084,6.244,2.38,443.96,430.1,62.877,68.291,10.928,2518,4.567,17.667,2581.2,13.554,21.674,19.133,6.257,2.436,447.56,433.38,62.187,68.364,9.372,2962.5,1.947,15.988,3021.2,10.296,20.591,17.089,5.032,2.321,198.78,198,31.108,31.483,10.824,2485,4.593,17.9,2538.2,13.591,21.568,19.257,6.234,2.423,444.21,431.21,61.998,68.757,18.336,16535,7.632,30.017,16149,20.025,45.378,40.112,10.73,3.413,702.14,715.38,126.75,129.63,17.481,19770,3.341,35.587,19119,16.353,55.802,46.737,20.276,3.722,378.9,390.84,80.012,73.779,12.795,8308,5.667,29.143,12315,21.321,188.09,847.16,7.637,3.185,489.05,1924.9,74.809,71.812
0,1,0,1,0,1,0,1,1,1,0,1,0,1,14.251,2535.9,5.233,21.255,2578.9,14.296,25.434,19.758,6.331,2.389,450.25,437.65,62.349,68.978,13.902,2521.9,5.245,21.011,2580.9,14.358,24.81,19.703,6.414,2.379,447.78,434.4,63.949,71.141,11.542,2955.4,2.672,18.36,3080.3,11.094,23.209,17.914,5.315,2.15,203.48,205.16,31.27,33.465,13.836,2509.4,5.224,20.911,2570.6,14.354,25.107,20.122,6.455,2.436,452.94,432.78,62.643,68.866,22.824,15487,9.073,34.996,15094,21.607,47.44,42.052,11.171,3.48,709.9,718.3,125.84,130.48,21.375,18764,4.545,48.194,18548,17.947,73.657,71.811,15.115,4.647,393.94,400.62,80.141,74.28,15.263,7834.5,6.579,27.161,11898,27.488,172.78,848.76,8.101,3.01,539.71,1941.2,66.46,82.05
0,0,1,1,1,0,0,0,0,1,1,1,1,1,13.829,2535.9,5.222,20.803,2598.4,14.332,24.931,19.861,6.265,2.381,450.75,439.26,61.585,68.702,13.671,2524.9,5.254,20.612,2554.8,14.434,24.93,19.754,6.301,2.397,452.94,438.98,61.978,68.561,11.684,2956,2.637,18.333,3034.7,11.063,23.136,17.923,5.325,2.155,206.52,206.05,31.231,32.128,13.763,2485.8,5.233,20.68,2539.3,14.468,24.893,20.208,6.361,2.418,453.48,440.76,61.878,68.406,22.498,15480,8.983,33.894,14990,24.833,42.131,42.842,10.816,3.528,705.7,708.1,124.32,129.17,21.297,18738,4.71,41.761,18891,17.934,73.274,48.206,15.043,3.734,386.04,400.85,80.309,74.508,15.758,7323.1,6.48,33.307,11846,28.102,203.58,890,7.741,2.94,531.08,1982,69.85,86.54
1,0,0,0,1,0,1,1,1,0,0,1,1,0,13.409,2530.2,5.135,20.292,2566.5,14.135,24.353,19.868,6.156,2.385,448.78,438.56,61.493,68.217,13.673,2520.2,5.17,20.838,2575.9,14.349,24.999,20.02,6.264,2.371,456.22,445.16,61.526,68.266,10.963,2949.9,2.216,17.703,3076.8,10.597,22.352,17.54,4.866,2.219,206.06,204.92,30.387,31.055,13.527,2506,5.175,20.446,2570.1,14.133,24.347,19.79,6.166,2.408,454.5,438.13,61.539,67.983,22.329,15537,8.729,38.139,15142,21.157,47.601,43.5,11.818,3.423,713.73,718.29,125.12,128.91,19.851,18953,3.626,42.239,18844,16.86,68.487,50.257,12.548,3.77,382.46,397.41,80.048,74.107,16.455,7344,7.053,32.706,11870,25.501,212.18,827.27,7.78,2.98,539.88,1982.2,75.736,81.337
0,0,1,1,1,1,1,1,0,0,1,1,0,1,14.152,2533.8,5.031,21.16,2574.3,14.036,25.019,19.972,6.251,2.404,447.96,433.48,63.181,70.416,13.667,2510.5,5.034,20.797,2555.8,14.087,24.848,19.729,6.283,2.442,446.2,433.91,63.36,70.876,11.213,2949.9,2.204,17.962,3046.7,10.637,22.538,17.567,4.944,2.237,204.16,205.54,32.131,31.916,13.805,2517.8,5.055,20.416,2558,14.114,24.647,19.863,6.324,2.452,448.09,433.43,63.16,69.798,22.294,15536,8.75,33.971,15307,21.443,50.106,41.866,11.425,3.521,722.93,707.47,127.11,130.32,20.439,18858,3.827,38.646,18725,16.965,74.99,60.529,16.519,3.787,379.94,394.83,80.036,74.141,16.767,7055.7,6.746,32.681,11857,31.511,147.43,827.32,9.917,3.666,607.42,1802.2,75.272,81.254
0,0,1,1,0,0,1,1,1,1,1,0,1,1,10.486,2520.1,4.472,17.304,2577.5,13.411,21.22,19.137,6.316,2.468,449.42,436.42,61.646,69.057,10.599,2495.3,4.476,17.414,2538,13.635,21.331,19.39,6.339,2.436,451.37,437.5,62.229,68.765,9.874,2937.9,2.373,16.489,3040.8,10.848,21.039,17.846,5.289,2.207,199.34,200.81,30.647,30.849,10.955,2493.7,4.479,17.826,2521.4,13.899,21.93,19.391,6.298,2.446,441.22,432.41,63.666,70.779,18.099,16610,7.521,27.845,16353,19.944,44.399,38.852,10.829,3.558,702.25,713.62,127.9,130.28,18.351,20066,3.942,42.629,20444,16.866,59.209,63.55,17.009,3.712,371.83,389.96,79.804,74.167,14.349,7636.4,6.11,30.332,12364,29.612,170.8,840.7,8.574,3.157,594.19,1723.9,78.558,93.38
0,1,0,0,1,1,1,0,0,1,1,1,1,1,13.924,2537.4,5.209,20.916,2569,14.195,24.854,19.793,6.328,2.432,455.79,437.64,62.865,70.385,13.876,2526.9,5.175,20.991,2551.6,14.154,24.846,19.536,6.189,2.391,445.64,432.73,62.973,70.555,11.53,2968.8,2.647,18.182,3046.3,11.063,23.065,17.954,5.286,2.225,203.92,205.73,32.006,32.784,13.81,2523,5.207,21.258,2563,14.479,25.121,20.481,6.613,2.606,444.98,434.94,63.669,70.431,22.559,15646,8.774,39.555,15114,21.197,55.511,43.103,10.9,3.463,709.44,713.14,126.88,130.71,21.011,18985,4.465,39.965,18701,17.755,80.645,56.38,13.363,4.556,381.75,398.86,79.948,74.586,17.432,6879.7,7.778,32.465,11859,27.79,203.59,783.85,8.97,3.399,602.01,1882.1,75.716,97.858
1,0,1,0,1,1,0,1,1,0,0,0,0,1,10.703,2523,4.634,17.512,2561.3,13.581,21.459,18.882,6.308,2.397,449.5,432.91,62.465,68.476,10.988,2532.2,4.608,18.006,2547.8,13.682,22.245,19.061,6.42,2.409,444.35,432.4,64.759,71.575,9.648,2945.2,1.969,16.447,3030,10.389,20.928,17.389,5.193,2.14,200.3,201.14,32.09,32.29,11.239,2521.4,4.59,18.289,2515.3,13.714,22.18,19.536,6.606,2.437,448.03,432.21,63.941,71.2,18.322,16592,7.723,32.647,16057,20.136,41.792,39.237,10.984,3.903,700.82,718.71,125.86,128.78,17.82,20086,3.32,34.711,19534,16.435,51.082,54.655,13.621,3.881,376.87,393.6,79.928,73.918,14.343,7405.6,6.747,33.037,12301,30.373,175.88,839.88,9.413,3.613,569.77,1887.5,76.794,90.218
0,1,1,0,1,0,1,1,0,0,0,0,0,0,10.604,2529.3,4.496,17.508,2581.5,13.57,21.34,18.789,6.161,2.389,444.33,430.62,62.192,68.313,10.805,2493.3,4.572,17.344,2563.9,13.632,21.544,19.094,6.364,2.436,445.45,431.05,62.2,68.029,9.679,2927.6,1.977,16.168,3060,10.259,20.745,17.516,4.945,2.204,199.99,200.14,30.349,30.781,11.792,2484.2,4.601,18.91,2532.3,13.999,23.045,19.926,6.579,2.496,463.8,451.17,63.175,69.554,18.245,16752,7.429,28.049,16016,19.901,41.806,39.529,10.964,3.877,696.93,712.78,124.01,128.71,17.944,20113,3.076,31.242,19408,16.229,53.655,64.699,13.218,3.697,373.21,390.74,80.312,73.945,14.193,7505.2,6.194,28.846,12302,27.892,254.78,831.45,8.49,3.138,600.31,1878.4,84.798,94.273
1,0,0,0,0,0,1,1,0,0,0,1,1,0,13.632,2528.7,5.259,20.619,2576.1,14.233,24.76,19.571,6.301,2.408,448.25,435.3,62.177,68.809,13.503,2527.6,5.203,20.544,2553.7,14.183,24.499,19.436,6.174,2.388,450.99,438.46,61.875,68.795,11.426,2970.4,2.222,17.967,3043.3,10.644,22.677,17.612,5.004,2.302,205.74,204.25,31.655,32.814,13.85,2529.2,5.222,20.696,2537.4,14.224,24.853,19.814,6.239,2.432,443.87,431.6,62.423,69.108,22.415,15533,8.695,32.755,15292,21.215,46.07,39.935,10.695,3.586,718.62,714.39,125.43,128.34,19.937,18929,3.705,38.524,19011,16.908,86.141,58.491,15.9,3.757,382.45,401.05,80.546,73.646,17.264,6916,7.613,36.268,11843,28.537,181,757.81,9.688,3.673,607.81,1862.6,75.6,97.427
1,1,1,1,1,1,1,0,1,0,1,0,0,0,10.928,2535.2,4.597,17.866,2573.5,13.565,21.991,18.992,6.472,2.388,449.26,433.08,61.395,68.505,10.891,2525.9,4.609,17.729,2564.2,13.719,21.674,19.12,6.316,2.394,448.37,436.09,61.741,68.581,9.664,3012.4,1.981,16.203,3031.2,10.326,21.017,17.158,4.898,2.231,199.08,196.77,31.615,32.446,11.992,2501.5,4.675,19.134,2548.3,13.638,23.297,19.377,6.378,2.437,450.44,432.24,63.177,70.751,18.48,16692,7.733,29.879,16784,23.719,35.906,36.654,11.361,3.599,703.23,711.23,126.36,129.34,17.891,20106,3.177,33.761,19391,16.282,72.242,49.522,16.225,3.706,380.59,391.31,80.141,73.764,14.281,7406.6,6.284,30.172,12317,30.023,169.62,861.22,9.005,3.298,573.42,2001.4,75.015,89.535
0,0,0,1,0,1,1,0,1,1,0,0,0,1,11.36,2540.6,4.692,18.47,2590.9,13.674,22.364,19.226,6.258,2.393,446.78,434.04,62.374,68.966,10.685,2514.6,4.642,17.694,2569.1,13.543,21.234,19.219,6.41,2.434,440.05,427,62.376,68.831,9.86,2943.6,2.4,16.566,3034.4,10.849,21.419,17.831,5.418,2.189,199.98,200.37,30.894,31.169,10.785,2491.3,4.618,17.638,2544.2,13.676,21.868,19.359,6.369,2.457,449.78,430.56,63.937,71.29,18.568,16706,7.783,31.246,16748,20.159,45.029,46.658,11.338,3.582,701.39,716.51,126.62,130.39,18.295,20098,3.819,28.572,20872,16.926,61.653,52.463,10.853,3.733,375.88,392.24,79.558,74.282,14.435,7615.6,6.976,24.763,12386,29.532,178.79,887.03,9.354,3.217,584.35,1925.6,74.816,89.328
1,0,0,1,1,0,0,1,0,1,1,0,0,0,10.672,2520.8,4.627,17.454,2568.4,13.714,21.712,19.254,6.423,2.43,441.71,430.87,63.151,69.752,10.756,2505.3,4.701,17.823,2554.7,13.717,21.891,19.242,6.307,2.389,442,427.8,62.623,68.895,9.863,2950.3,2.426,16.646,3028.3,10.806,21.099,17.846,5.343,2.199,199.38,199.67,31.185,33.224,11.053,2506.8,4.912,18.139,2540.5,13.656,21.636,19.805,6.452,2.449,443.59,430.25,62.833,68.721,18.381,16640,7.619,32.837,16081,20.321,46.043,43.136,10.966,3.519,708.53,712.92,128.56,130.99,18.705,20501,4.053,41.752,19476,17.419,69.742,68.214,14.354,3.759,381.85,394.12,80.087,74.558,13.777,7792,6.232,28.498,12302,32.195,163.63,878.16,9.619,3.659,612.89,1852.5,76.128,98.333
1,0,0,1,0,0,1,0,0,0,1,0,1,0,10.502,2510.7,4.547,17.333,2576.4,13.47,21.298,18.801,6.254,2.409,444.19,429.84,61.533,68.918,10.557,2504.1,4.547,17.284,2551.9,13.481,21.227,19.027,6.301,2.391,448.95,431.77,60.941,68.255,9.418,2944.1,1.953,15.967,3012.5,10.283,20.417,17.224,4.876,2.111,199.07,200.12,31.775,32.301,11.141,2480.3,4.561,17.959,2538.9,13.582,21.915,19.472,6.365,2.432,442.58,427.75,61.768,68.585,18.168,16660,7.626,30.005,16494,20.16,43.201,38.91,10.623,3.35,708.27,716.45,125.37,128.6,17.403,20798,3.217,27.642,20316,16.416,59.355,41.704,12.061,3.733,381.23,391.78,79.904,74.05,15.821,7019.8,6.539,33.446,12302,29.248,209.87,908.4,8.95,3.24,606.39,1702.4,74.755,90.711
1,1,1,0,0,1,0,0,0,0,0,1,1,0,13.52,2557.9,5.219,20.593,2579.1,14.381,24.559,19.416,6.123,2.403,450.89,436.6,61.685,68.53,13.806,2522,5.15,20.779,2559,14.279,24.829,19.77,6.212,2.451,446.76,433.18,63.192,70.772,11.017,2970.6,2.221,17.761,3042.9,10.64,22.422,17.608,4.859,2.109,203.89,203.45,31.13,30.723,13.677,2500,5.181,20.815,2565,14.526,25.19,20.265,6.181,2.448,455.84,439.85,63.601,70.765,22.664,15635,8.876,34.894,15175,21.384,48.511,47.082,11.093,3.543,716.95,722.42,127.06,130.34,20.205,18085,3.661,34.228,18016,16.97,55.724,40.223,11.552,3.729,387.24,399.92,79.896,74.095,20.971,6040.8,8.027,37.123,12146,23.505,242.25,921.7,8.899,3.406,605.42,1937.5,74.554,88.288
